coord,parent_soil,ph,clay,organic_matter,total_nitrogen,boron,p2o5,sand,zinc,potassium,DISTRICT
"{'lon': 83.2, 'lat': 27.9}",Quartzite,6.38,9.88%,3.38%,0.12%,0.86 ppm,86.5 kg/ha,57.51%,1.81 ppm,317.63 kg/ha,Arghakhanchi
"{'lon': 83.6, 'lat': 28.3}",Quartzite,6.04,11.40%,2.59%,0.09%,0.22 ppm,158.2 kg/ha,36.07%,2.18 ppm,315.8 kg/ha,Baglung
"{'lon': 80.5, 'lat': 29.5}","slate, phyllite",6.49,10.86%,5.47%,0.04%,0.99 ppm,136.73 kg/ha,20.28%,1.52 ppm,1143.1 kg/ha,Baitadi
"{'lon': 81.2, 'lat': 29.6}","Gneiss, migmatite",6.42,9.79%,6.56%,0.30%,0.29 ppm,84.42 kg/ha,45.61%,2.14 ppm,452.89 kg/ha,Bajang
"{'lon': 81.7, 'lat': 28.1}",Fluvial non calcareous,6.55,42.24%,3.62%,0.18%,0.29 ppm,134.4 kg/ha,24.04%,0.9 ppm,208.48 kg/ha,Banke
"{'lon': 84.95, 'lat': 27.15}",Fluvial non calcareous,5.91,10.35%,1.50%,0.08%,0.93 ppm,26.77 kg/ha,40.30%,0.89 ppm,116.02 kg/ha,Bara
"{'lon': 81.3, 'lat': 28.45}",Fluvial non calcareous,6.94,13.01%,2.25%,0.12%,1.87 ppm,86.49 kg/ha,45.40%,0.74 ppm,185.39 kg/ha,Bardiya
"{'lon': 85.5, 'lat': 27.7}",Quartzite,5.8,13.22%,2.83%,0.12%,0.98 ppm,322.94 kg/ha,63.41%,1.84 ppm,330.53 kg/ha,Bhaktapur
"{'lon': 84.4, 'lat': 27.7}","Fluvial, calcareous",6.24,14.83%,2.22%,0.13%,1.75 ppm,87.48 kg/ha,51.74%,1.76 ppm,207.27 kg/ha,Chitawan
"{'lon': 80.6, 'lat': 29.3}",Quartzite,6.38,18.62%,3.61%,0.16%,0.97 ppm,128.52 kg/ha,56.39%,1.6 ppm,528.34 kg/ha,Dadeldhura
"{'lon': 81.7, 'lat': 28.8}",Fluvial non calcareous,6.64,18.66%,3.25%,0.13%,1.17 ppm,283.49 kg/ha,55.43%,0.99 ppm,494.61 kg/ha,Dailekh
"{'lon': 82.4, 'lat': 28.05}","Lacustrine, non calcareous",6.7,18.91%,2.87%,0.13%,1.43 ppm,214.49 kg/ha,43.94%,1.5 ppm,640.31 kg/ha,Dang
"{'lon': 80.6, 'lat': 29.9}","Gneiss, migmatite",6.4,11.36%,5.75%,0.29%,0.28 ppm,50.21 kg/ha,47.35%,1.42 ppm,292.61 kg/ha,Darchula
"{'lon': 85.2, 'lat': 27.7}",Quartzite,5.99,14.55%,3.15%,0.17%,1.07 ppm,140.01 kg/ha,52.68%,1.43 ppm,346.7 kg/ha,Dhading
"{'lon': 87.3, 'lat': 27.0}","slate, phyllite",6.47,20.88%,2.54%,0.13%,0.83 ppm,43.84 kg/ha,61.92%,1.86 ppm,405.97 kg/ha,Dhankuta
"{'lon': 85.9, 'lat': 26.7}",Fluvial non calcareous,7.13,38.66%,1.02%,0.06%,0.39 ppm,66.01 kg/ha,20.44%,0.36 ppm,83.85 kg/ha,Dhanusa
"{'lon': 86.2, 'lat': 27.6}",Quartzite,5.69,8.29%,4.12%,0.11%,0.59 ppm,122.87 kg/ha,58.49%,2.07 ppm,373.06 kg/ha,Dolkha
"{'lon': 82.9, 'lat': 29.0}","Gneiss, migmatite",7.06,12.68%,4.33%,0.20%,0.32 ppm,84.9 kg/ha,57.74%,0.97 ppm,522.41 kg/ha,Dolpa
