DISTRICT_CODE,DISTRICT_NAME,OS_P_200304,OS_P_200405,OS_P_200506,OS_P_200607,OS_P_200708,OS_P_200809,OS_P_200910,OS_P_201011,OS_P_201112,OS_P_201213,OS_P_201314,PT_P_200304,PT_P_200405,PT_P_200506,PT_P_200607,PT_P_200708,PT_P_200809,PT_P_200910,PT_P_201011,PT_P_201112,PT_P_201213,PT_P_201314,TB_P_200304,TB_P_200405,TB_P_200506,TB_P_200607,TB_P_200708,TB_P_200809,TB_P_200910,TB_P_201011,TB_P_201112,TB_P_201213,TB_P_201314,SC_P_200304,SC_P_200405,SC_P_200506,SC_P_200607,SC_P_200708,SC_P_200809,SC_P_200910,SC_P_201011,SC_P_201112,SC_P_201213,SC_P_201314,dbID_1,OS_A_200304,OS_A_200405,OS_A_200506,OS_A_200607,OS_A_200708,OS_A_200809,OS_A_200910,OS_A_201011,OS_A_201112,OS_A_201213,OS_A_201314,PT_A_200304,PT_A_200405,PT_A_200506,PT_A_200607,PT_A_200708,PT_A_200809,PT_A_200910,PT_A_201011,PT_A_201112,PT_A_201213,PT_A_201314,TB_A_200304,TB_A_200405,TB_A_200506,TB_A_200607,TB_A_200708,TB_A_200809,TB_A_200910,TB_A_201011,TB_A_201112,TB_A_201213,TB_A_201314,SC_A_200304,SC_A_200405,SC_A_200506,SC_A_200607,SC_A_200708,SC_A_200809,SC_A_200910,SC_A_201011,SC_A_201112,SC_A_201213,SC_A_201314,dbID_12,dbName_12,OS_Y_200304,OS_Y_200405,OS_Y_200506,OS_Y_200607,OS_Y_200708,OS_Y_200809,OS_Y_200910,OS_Y_201011,OS_Y_201112,OS_Y_201213,OS_Y_201314,PT_Y_200304,PT_Y_200405,PT_Y_200506,PT_Y_200607,PT_Y_200708,PT_Y_200809,PT_Y_200910,PT_Y_201011,PT_Y_201112,PT_Y_201213,PT_Y_201314,TB_Y_200304,TB_Y_200405,TB_Y_200506,TB_Y_200607,TB_Y_200708,TB_Y_200809,TB_Y_200910,TB_Y_201011,TB_Y_201112,TB_Y_201213,TB_Y_201314,SC_Y_200304,SC_Y_200405,SC_Y_200506,SC_Y_200607,SC_Y_200708,SC_Y_200809,SC_Y_200910,SC_Y_201011,SC_Y_201112,SC_Y_201213,SC_Y_201314
1,Taplejung,500,427,415,490,410,390,452,452,627,607,627,37250,41047.65,41205,41200,41200,41406,41426,41426,42437,44623,44603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1,502,500,332,490,502,502,502,502,564,564,564,3750,3735,3615,3615,3615,3633,3615,3615,3615,3690,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,Taplejung,996.02,854,1250,976.1,816.73,776.89,900.4,900.4,1111.7,1076,1111.7,9933.33,10990,11398.34,11396.96,11396.96,11397.19,11459.47,11459.47,11739.14,12092.95,12087.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8428.57,0,0,0
2,Panchthar,303,374,374,378,378,420,420,515,512,616,549.7,50297,54820.5,54820.5,55100,55100,55097,56456.4,56456,56456,24951.6,26012.9,0,0,0,0,0,0,0,0,0,0,0,3082,0,0,0,0,0,0,1260,1197,1162,1161.8,2,405,500,500,378,505,560,560,620,622,700,670,4665,4767,4767,4792,4792,4816,4935,4935,1830,1927,1963,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,40,38,37,37,2,Panchthar,748.15,748,748,748.51,748.51,750,750,830.65,823.15,880,820.45,10781.78,11500,11500,11498.33,11498.33,11440.41,11440,11439.92,13179.78,12948.42,13251.6,0,0,0,0,0,0,0,0,0,0,0,46696.97,0,0,0,0,0,0,31500,31500,31405.41,31400
3,Ilam,530,600,600,682,636,636,750,780,700,780,858,60680,64612,64612,53910,53910,87280,87280,87280,90950,91749,91749,0,0,0,0,0,0,0,0,0,0,0,460,0,0,170,470,470,470,490,490,500,390,3,650,650,650,682,775,775,780,780,780,780,858,5600,4751,4751,5043,5043,6800,6800,6700,6815,6815,6815,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,13,13,13,13,13,13,13,3,Ilam,815.38,923.08,923.08,909.33,820.65,820.65,961.54,1000,897.44,1000,1000,10835.71,13599.66,13599.66,10690.07,10690.07,12835.29,12835.29,13026.87,13345.56,13462.8,13462.8,0,0,0,0,0,0,0,0,0,0,0,46000,0,0,13076.92,36153.85,36153.85,36153.85,37692.31,37692.31,38461.54,30000
4,Jhapa,3087,2979,1800,2800,2800,2750,2750,3450,3852.4,3156,4228,90170,108000,147025,148050,148050,216000,155250,125000,163820,198100,213295,350,12,12,9,9,9,8.78,3,2,2,1.02,2825,2907,5200,4550,3920,3920,3920,5460,6500,5824,5600,4,3087,3090,4000,2800,3250,3250,3250,3450,3500,3297,3475,7100,8000,10150,10500,10500,12600,11500,9100,10140,10150,14710,400,15,15,12,12,12,11.63,4,3,3,1.7,113,114,200,130,140,140,140,195,205,208,200,4,Jhapa,1000,964.08,450,777.78,861.54,846.15,846.15,1000,1100.69,957.23,1216.69,12700,13500,14485.22,14100,14100,17142.86,13500,13736.26,16155.82,19517.24,14500,875,800,800,750,750,750,755.42,750,0,666.67,600,25000,25500,26000,35000,28000,28000,28000,28000,28000,28000,28000
5,Sankhuwasabha,450,450,402,540,540,574,580,515,540,376,461.25,28900,28900,33900,33020,33020,33186,31712,33500,39228,37089,39367,0,0,0,0,0,0,0,0,0,0,0,950,600,600,395,650,650,650,490,2100,2100,0,5,625,625,575,540,675,675,695,635,635,440,540,3055,3055,3055,3070,3070,3085,3075,3075,3147,3092,3130,0,0,0,0,0,0,0,0,0,0,0,95,80,80,70,70,70,70,70,70,70,0,5,Sankhuwasabha,720,720,699.13,800,800,850.37,834.53,811.02,850.39,854.55,854.17,9459.9,9459.9,11096.56,10755.7,10755.7,10757.21,10312.85,10894.31,12465.2,11995.15,12577.32,0,0,0,0,0,0,0,0,0,0,0,10000,7500,7500,5642.86,9285.71,9285.71,9285.71,7000,7000,30000,0
6,Bhojpur,349,204,270,221,221,221,186.9,159,187,402,219,24080,26142,27150,30120,30650,30648,32100,33100,33100,30075,36755,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,126,0,0,80,6,356,227,348,221,276,276,267,227,267,317,283,2361,2561,2561,2510,2850,2864,3000,3000,5025,3300,3200,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,15,0,0,0,6,Bhojpur,980.34,898.68,775.86,800.72,800.72,800.72,700,700.44,700.37,1268.14,773.85,10199.07,10207.73,10601.33,12000,10754.39,10701.12,10700,11033.33,11439.8,9113.64,11485.94,0,0,0,0,0,0,0,750,0,0,857.14,0,0,0,0,0,0,0,8400,0,0,#VALUE!
7,Dhankuta,963,960,405,805,805,740,813,661,631.9,661,627.5,20515,22719,32719,27760,27760,32475,33412,33412,36460,33995,33640,0,0,0,0,0,0,0,0,0,0,0,240,260,840,800,800,800,800,800,800,800,880,7,1070,1070,1074,805,1074,948,1050,1035,1062,1057,1000,1790,1983,1983,1983,1983,2010,2025,2025,2048,2053,2050,0,0,0,0,0,0,0,0,0,0,0,12,13,42,41,41,41,41,40,40,40,45,7,Dhankuta,900,897.2,377.09,749.53,749.53,780.59,774.29,638.65,595.01,625.35,627.5,11460.89,11456.88,16499.75,13998.99,13998.99,16156.72,16499.75,16499.75,17802.73,16558.69,16409.76,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,19512.2,19512.2,19512.2,19512.2,20000,20000,20000,19556
8,Tehrathum,136,250,250,175,175,240,240,280,296.1,410,296,22900,22928.4,23900,28600,32160,27308.8,27308.8,27309,30880,33062.5,33695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,300,8,275,280,280,175,290,325,325,440,450,455,450,2291,2316,2316,2400,2665,2720,2720,2725,2780,2835,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,Tehrathum,494.55,892.86,892.86,603.45,603.45,738.46,738.46,636.36,658,901.1,657.78,9995.64,9900,10319.52,11916.67,12067.54,10040,10040,10021.65,11107.91,11662.26,11699.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,25000
9,Morang,3180,3892,6407,6600,5136,5136,5136,13425,12470,10203,11223,60701,63750,75092,59890,59890,62310,62205,68700,68700,86250,59850,60,60,60,60,60,60,58.56,0,0,0,0,67620,67830,69275,77280,83880,83880,83880,133980,141900,149500,162400,9,5870,6965,6965,6600,7360,7360,7360,13220,13250,11410,12375,5101,5100,5310,5300,5300,5406,5670,5670,5750,5750,5700,70,70,70,70,70,70,67.83,0,0,0,0,1610,1615,1630,1840,1855,1855,1855,2030,2150,2250,2320,9,Morang,541.74,558.79,919.89,926.32,697.83,697.83,697.83,1015.51,941.13,894.22,906.91,11899.82,12500,14141.62,11300,11300,11526.08,10970.9,12116.4,1917.39,15000,10500,857.14,857.14,857.14,857.14,857.14,857.14,863.33,0,0,0,0,42000,42000,42500,42000,45218.33,45218.33,45218.33,66000,66000,66444.44,70000
10,Sunsari,1400,5000,5000,4400,4440,4440,7013,7141,6762,6445,6757.77,42500,50750,50750,51100,53360,40673,40673,40673,33860,36610,58500,90,90,90,90,90,90,87.84,77,69,45,45,101500,140000,140000,135000,135000,135000,168000,175455,185130,190540,187182,10,4000,5500,5500,4400,5550,5550,8500,8510,8487,8489,8624.96,3000,3500,3500,3650,3680,2750,2750,2750,2510,2820,4500,100,100,100,100,100,100,96.9,86,76,76,50,1850,2500,2500,2500,2500,2500,3000,3150,3300,3350,3365,10,Sunsari,350,909.09,909.09,800,800,800,825.06,839.13,796.75,759.22,783.51,14166.67,14500,14500,14000,14500,14790.18,14790.18,14790.18,13490.04,12982.27,13000,900,900,900,900,900,900,906.5,895.35,0,592.11,900,54864.86,56000,56000,54000,54000,54000,56000,55700,55700,56877.61,55626
